customer_id,city,state,signup_date,acquisition_channel
1,Pune,DL,2023-11-24,Google Ads
2,Hyderabad,TN,2023-02-27,Google Ads
3,Chennai,GJ,2023-01-13,Organic
4,Pune,TN,2023-05-21,Instagram
5,Bangalore,KA,2023-05-06,Facebook Ads
6,Ahmedabad,MH,2023-04-25,Google Ads
7,Chennai,TS,2023-03-13,Facebook Ads
8,Chennai,TN,2023-02-22,Referral
9,Pune,TS,2023-12-13,Referral
10,Delhi,MH,2023-10-07,Instagram
11,Bangalore,WB,2023-02-14,Google Ads
12,Pune,MH,2023-10-30,Organic
13,Bangalore,TS,2023-08-05,Google Ads
14,Bangalore,DL,2023-01-17,Facebook Ads
15,Ahmedabad,WB,2023-01-16,Referral
16,Chennai,GJ,2023-02-17,Facebook Ads
17,Hyderabad,GJ,2023-04-22,Instagram
18,Ahmedabad,DL,2023-04-30,Referral
19,Ahmedabad,TN,2023-09-16,Organic
20,Bangalore,WB,2023-11-05,Referral
21,Kolkata,TS,2023-01-14,Google Ads
22,Chennai,WB,2023-10-15,Google Ads
23,Delhi,TN,2023-04-12,Referral
24,Ahmedabad,KA,2023-11-29,Instagram
25,Hyderabad,MH,2023-12-26,Google Ads
26,Kolkata,DL,2023-10-07,Google Ads
27,Kolkata,TN,2023-08-03,Organic
28,Delhi,KA,2023-04-23,Referral
29,Ahmedabad,WB,2023-08-18,Google Ads
30,Hyderabad,WB,2023-10-29,Instagram
31,Chennai,TN,2023-05-23,Facebook Ads
32,Mumbai,TS,2023-01-04,Referral
33,Hyderabad,WB,2023-03-23,Organic
34,Delhi,TS,2023-12-24,Google Ads
35,Kolkata,TS,2023-08-05,Instagram
36,Chennai,MH,2023-06-24,Referral
37,Hyderabad,TS,2023-05-23,Instagram
38,Mumbai,MH,2023-03-21,Instagram
39,Mumbai,MH,2023-04-21,Organic
40,Bangalore,KA,2023-06-22,Referral
41,Bangalore,KA,2023-02-22,Google Ads
42,Pune,WB,2023-02-17,Organic
43,Delhi,WB,2023-07-14,Google Ads
44,Ahmedabad,TS,2023-02-19,Facebook Ads
45,Hyderabad,MH,2023-07-03,Instagram
46,Hyderabad,MH,2023-06-26,Facebook Ads
47,Ahmedabad,MH,2023-11-06,Instagram
48,Pune,TS,2023-05-16,Organic
49,Kolkata,MH,2023-01-23,Google Ads
50,Kolkata,GJ,2023-08-24,Google Ads
51,Pune,TS,2023-10-02,Organic
52,Kolkata,DL,2023-03-05,Referral
53,Bangalore,DL,2023-07-13,Facebook Ads
54,Hyderabad,TN,2023-02-10,Facebook Ads
55,Pune,TS,2023-10-10,Google Ads
56,Hyderabad,MH,2023-05-31,Google Ads
57,Ahmedabad,WB,2023-11-18,Google Ads
58,Mumbai,KA,2023-11-13,Organic
59,Bangalore,TN,2023-07-05,Referral
60,Chennai,WB,2023-10-23,Facebook Ads
61,Bangalore,DL,2023-04-09,Instagram
62,Pune,TS,2023-12-27,Organic
63,Chennai,TN,2023-02-05,Facebook Ads
64,Mumbai,TS,2023-01-24,Referral
65,Pune,DL,2023-12-05,Organic
66,Delhi,TN,2023-04-27,Facebook Ads
67,Hyderabad,DL,2023-05-29,Organic
68,Mumbai,MH,2023-02-10,Facebook Ads
69,Hyderabad,DL,2023-04-30,Facebook Ads
70,Kolkata,MH,2023-02-21,Referral
71,Delhi,MH,2023-07-14,Instagram
72,Delhi,TS,2023-05-23,Referral
73,Mumbai,KA,2023-08-21,Facebook Ads
74,Delhi,DL,2023-11-22,Organic
75,Chennai,WB,2023-07-06,Referral
76,Delhi,MH,2023-03-25,Instagram
77,Hyderabad,GJ,2023-07-09,Facebook Ads
78,Hyderabad,KA,2023-07-01,Referral
79,Pune,MH,2023-04-18,Referral
80,Hyderabad,TN,2023-12-10,Referral
81,Pune,TN,2023-05-17,Referral
82,Hyderabad,MH,2023-12-26,Organic
83,Chennai,KA,2023-12-16,Instagram
84,Ahmedabad,MH,2023-11-28,Instagram
85,Pune,TN,2023-02-06,Facebook Ads
86,Bangalore,GJ,2023-11-08,Google Ads
87,Kolkata,DL,2023-11-22,Organic
88,Mumbai,KA,2023-03-29,Facebook Ads
89,Hyderabad,TS,2023-10-01,Facebook Ads
90,Delhi,DL,2023-05-06,Referral
91,Ahmedabad,DL,2023-03-25,Google Ads
92,Hyderabad,DL,2023-08-25,Google Ads
93,Delhi,TS,2023-07-14,Organic
94,Kolkata,GJ,2023-05-19,Google Ads
95,Kolkata,MH,2023-11-24,Facebook Ads
96,Kolkata,GJ,2023-12-19,Google Ads
97,Delhi,GJ,2023-10-13,Google Ads
98,Hyderabad,GJ,2023-04-23,Instagram
99,Kolkata,WB,2023-12-17,Facebook Ads
100,Chennai,MH,2023-06-16,Google Ads
101,Pune,TN,2023-01-29,Google Ads
102,Delhi,MH,2023-04-28,Referral
103,Delhi,KA,2023-01-17,Google Ads
104,Hyderabad,GJ,2023-06-11,Google Ads
105,Delhi,MH,2023-07-25,Instagram
106,Delhi,KA,2023-05-18,Facebook Ads
107,Kolkata,MH,2023-02-03,Organic
108,Hyderabad,TN,2023-04-19,Facebook Ads
109,Kolkata,TS,2023-10-18,Referral
110,Pune,MH,2023-06-11,Facebook Ads
111,Ahmedabad,DL,2023-04-19,Google Ads
112,Pune,MH,2023-12-02,Referral
113,Ahmedabad,DL,2023-09-13,Facebook Ads
114,Kolkata,TS,2023-07-22,Referral
