order_id,order_date,customer_id,product_id,quantity,selling_price,discount_amount,payment_type,shipping_cost,delivery_date
1,2024-01-16,816,436,1,2683.2,134.16,Prepaid,46,2024-01-23
2,2024-01-28,6802,975,3,1736.79,173.68,COD,141,2024-01-31
3,2024-02-04,4081,694,1,6206.47,1241.29,COD,132,2024-02-06
4,2024-12-13,220,48,3,2296.84,0.0,Prepaid,156,2024-12-18
5,2024-04-01,3135,556,1,4247.21,424.72,COD,142,2024-04-07
6,2024-11-05,5565,257,3,2392.18,119.61,UPI,64,2024-11-08
7,2024-06-16,1252,752,1,5584.36,558.44,Prepaid,73,2024-06-23
8,2024-06-04,5096,517,3,4142.98,207.15,Prepaid,150,2024-06-09
9,2024-11-15,790,368,3,5164.16,0.0,Prepaid,145,2024-11-22
10,2024-02-09,5416,166,1,8141.44,1628.29,Prepaid,111,2024-02-15
11,2024-09-23,6288,270,1,2643.58,528.72,UPI,126,2024-09-28
12,2024-09-09,6495,791,1,2025.81,405.16,COD,111,2024-09-14
13,2024-08-26,1655,913,1,5603.71,280.19,Prepaid,148,2024-08-31
14,2024-05-30,5424,700,3,1217.56,243.51,COD,60,2024-06-05
15,2024-09-11,4017,991,3,4055.78,811.16,COD,71,2024-09-16
16,2024-09-15,2144,805,1,5049.02,1009.8,Prepaid,94,2024-09-22
17,2024-10-04,2815,323,1,5117.16,0.0,UPI,59,2024-10-07
18,2024-10-03,4478,16,1,803.84,160.77,UPI,194,2024-10-06
19,2024-01-10,7804,801,2,4850.12,970.02,COD,168,2024-01-15
20,2024-01-17,3526,803,3,5547.96,0.0,Prepaid,69,2024-01-24
21,2024-03-01,3143,932,3,3322.69,0.0,Prepaid,53,2024-03-04
22,2024-08-18,2577,661,3,8046.55,804.66,Prepaid,78,2024-08-21
23,2024-07-11,3626,49,1,4616.79,0.0,UPI,137,2024-07-15
24,2024-08-23,295,697,2,3560.28,356.03,Prepaid,42,2024-08-25
25,2024-01-17,1449,752,3,6026.66,0.0,COD,154,2024-01-20
26,2024-10-12,5402,566,3,6882.42,1376.48,UPI,94,2024-10-14
27,2024-06-04,7248,808,2,2096.23,419.25,COD,58,2024-06-06
28,2024-12-27,1345,718,2,4185.59,837.12,Prepaid,49,2025-01-03
29,2024-09-08,3529,634,2,6748.67,674.87,COD,149,2024-09-14
30,2024-03-09,2560,615,2,7742.32,387.12,COD,136,2024-03-11
31,2024-07-18,3994,620,3,1380.51,69.03,COD,42,2024-07-23
32,2024-02-26,4661,676,2,4167.24,208.36,COD,113,2024-03-03
33,2024-12-11,4019,484,2,7203.15,720.32,Prepaid,152,2024-12-13
34,2024-12-03,4537,417,2,5124.07,512.41,UPI,50,2024-12-08
35,2024-12-16,4419,816,2,7598.84,0.0,UPI,93,2024-12-19
36,2024-10-19,3849,955,3,7262.42,0.0,COD,188,2024-10-23
37,2024-08-31,4606,149,2,1862.83,93.14,Prepaid,84,2024-09-05
38,2024-03-21,4151,925,1,2764.76,0.0,UPI,46,2024-03-24
39,2024-01-29,3207,117,1,7862.38,0.0,Prepaid,101,2024-01-31
40,2024-05-14,4053,577,2,4096.09,0.0,UPI,188,2024-05-19
41,2024-10-29,7954,806,3,3249.46,162.47,UPI,96,2024-11-03
42,2024-07-12,5054,346,1,1717.96,85.9,UPI,101,2024-07-15
43,2024-12-12,2890,721,1,1798.19,179.82,UPI,119,2024-12-17
44,2024-05-25,2626,397,3,5846.29,292.31,COD,73,2024-05-27
45,2024-02-01,231,205,3,5686.37,568.64,COD,66,2024-02-07
46,2024-10-29,370,81,3,3005.62,601.12,COD,73,2024-11-01
47,2024-03-06,6857,284,1,3386.19,0.0,COD,104,2024-03-09
48,2024-07-06,2858,8,1,7141.53,1428.31,Prepaid,63,2024-07-12
49,2024-10-25,221,173,2,3530.21,0.0,Prepaid,79,2024-10-28
50,2024-11-16,2796,980,2,3785.35,757.07,Prepaid,77,2024-11-23
51,2024-07-13,798,762,2,3921.52,784.3,Prepaid,63,2024-07-19
52,2024-08-07,2828,886,2,5822.2,291.11,COD,154,2024-08-14
53,2024-07-01,3375,836,1,4348.49,869.7,Prepaid,187,2024-07-07
54,2024-06-28,463,434,1,3377.98,0.0,COD,120,2024-07-02
55,2024-12-04,2001,25,2,3955.98,197.8,Prepaid,66,2024-12-06
56,2024-05-06,1923,348,3,1314.98,263.0,COD,199,2024-05-11
57,2024-11-27,2557,121,3,3542.88,177.14,Prepaid,166,2024-11-30
58,2024-10-30,696,964,1,7626.83,1525.37,COD,166,2024-11-05
59,2024-12-18,537,859,2,403.89,20.19,COD,168,2024-12-20
60,2024-06-05,938,448,1,5635.21,563.52,COD,120,2024-06-12
61,2024-06-21,1391,60,3,7355.26,0.0,UPI,159,2024-06-23
62,2024-01-11,4411,62,3,4741.57,0.0,Prepaid,180,2024-01-15
63,2024-06-15,307,563,1,3541.76,708.35,COD,57,2024-06-19
64,2024-08-23,5389,724,1,3594.13,359.41,COD,71,2024-08-29
65,2024-08-04,4654,910,1,7862.78,1572.56,Prepaid,123,2024-08-11
66,2024-09-20,7385,217,1,4245.26,849.05,Prepaid,166,2024-09-23
67,2024-08-03,2185,964,3,6116.38,1223.28,COD,125,2024-08-06
68,2024-01-11,5702,539,3,1216.16,243.23,COD,181,2024-01-15
69,2024-08-28,4817,70,3,3874.52,774.9,Prepaid,187,2024-09-03
70,2024-01-12,2593,317,3,4696.32,469.63,UPI,54,2024-01-19
71,2024-07-12,4673,488,1,3522.61,0.0,COD,118,2024-07-14
72,2024-07-18,2642,786,1,4613.7,0.0,COD,157,2024-07-20
73,2024-10-20,801,9,3,3978.6,795.72,COD,129,2024-10-25
74,2024-09-07,820,746,2,2455.06,0.0,COD,89,2024-09-13
