product_id,category,sub_category,cost_price,supplier
1,Electronics,Mobile,1948,Supplier_30
2,Electronics,Mobile,2404,Supplier_44
3,Electronics,Mobile,3830,Supplier_35
4,Electronics,Mobile,2092,Supplier_10
5,Electronics,Mobile,2629,Supplier_48
6,Electronics,Mobile,3293,Supplier_38
7,Electronics,Mobile,1173,Supplier_15
8,Electronics,Mobile,4224,Supplier_5
9,Electronics,Mobile,2842,Supplier_3
10,Electronics,Mobile,1642,Supplier_48
11,Electronics,Mobile,4529,Supplier_10
12,Electronics,Mobile,1677,Supplier_32
13,Electronics,Mobile,970,Supplier_42
14,Electronics,Mobile,505,Supplier_2
15,Electronics,Mobile,201,Supplier_31
16,Electronics,Mobile,470,Supplier_40
17,Electronics,Mobile,4716,Supplier_3
18,Electronics,Mobile,3414,Supplier_16
19,Electronics,Mobile,1063,Supplier_45
20,Electronics,Mobile,2939,Supplier_42
21,Electronics,Mobile,3114,Supplier_9
22,Electronics,Mobile,306,Supplier_1
23,Electronics,Mobile,3368,Supplier_12
24,Electronics,Mobile,4844,Supplier_41
25,Electronics,Mobile,2799,Supplier_4
26,Electronics,Mobile,2435,Supplier_20
27,Electronics,Mobile,2999,Supplier_7
28,Electronics,Mobile,1711,Supplier_30
29,Electronics,Mobile,218,Supplier_40
30,Electronics,Mobile,1058,Supplier_11
31,Electronics,Mobile,1616,Supplier_38
32,Electronics,Mobile,3232,Supplier_5
33,Electronics,Mobile,4705,Supplier_7
34,Electronics,Mobile,1626,Supplier_8
35,Electronics,Mobile,2731,Supplier_32
36,Electronics,Mobile,4919,Supplier_39
37,Electronics,Mobile,4951,Supplier_40
38,Electronics,Mobile,4238,Supplier_15
39,Electronics,Mobile,4313,Supplier_5
40,Electronics,Mobile,2431,Supplier_13
41,Electronics,Mobile,2652,Supplier_28
42,Electronics,Mobile,3046,Supplier_22
43,Electronics,Mobile,3402,Supplier_48
44,Electronics,Mobile,2016,Supplier_44
45,Electronics,Mobile,1980,Supplier_26
46,Electronics,Mobile,4303,Supplier_21
47,Electronics,Mobile,904,Supplier_8
