return_id,order_id,return_date,return_reason,refund_amount,refund_processed_days
1,42622,2024-01-22,Wrong Product,3378.18,9
2,44966,2024-07-24,Late Delivery,7539.85,7
3,48285,2024-10-25,Size Issue,4432.86,3
4,5335,2024-06-27,Late Delivery,751.02,9
5,25745,2024-04-04,Damaged,3432.57,6
6,40691,2024-06-17,Late Delivery,5385.83,2
7,17839,2024-01-18,Damaged,1919.28,3
8,28473,2024-09-25,Late Delivery,2242.16,2
9,9325,2024-03-31,Wrong Product,373.9,4
10,35251,2024-03-05,Wrong Product,5398.21,6
11,42497,2024-01-23,Wrong Product,4402.9,6
12,35532,2024-07-23,Wrong Product,1440.23,6
13,8636,2024-11-04,Not as Expected,1231.54,7
14,39131,2024-04-03,Late Delivery,2596.96,2
15,3703,2025-01-06,Wrong Product,4662.81,1
16,19742,2024-07-30,Not as Expected,7121.0,1
17,19173,2024-01-19,Not as Expected,5460.86,4
18,16471,2024-09-14,Not as Expected,3826.57,4
19,436,2024-08-11,Not as Expected,6066.53,1
20,7779,2024-03-10,Late Delivery,6013.28,2
21,8839,2024-04-14,Size Issue,2891.24,5
22,47935,2024-09-14,Late Delivery,1052.97,4
23,43149,2024-04-05,Size Issue,4004.06,5
24,28931,2024-10-24,Damaged,1930.5,1
25,498,2024-06-08,Late Delivery,5164.87,8
26,42232,2024-04-05,Late Delivery,3161.67,4
27,37756,2024-08-23,Size Issue,2755.91,7
28,41791,2024-07-16,Late Delivery,2861.11,4
29,14720,2024-11-28,Damaged,681.02,9
30,35272,2024-01-25,Not as Expected,1928.76,2
31,9135,2024-03-15,Wrong Product,1153.44,8
32,24257,2024-11-05,Damaged,2654.58,5
33,17183,2024-09-29,Wrong Product,3964.8,1
34,22065,2024-10-14,Wrong Product,854.7,7
35,39580,2024-09-20,Size Issue,5547.49,7
36,6492,2024-02-10,Late Delivery,2428.5,6
37,24729,2024-12-07,Late Delivery,3605.98,5
38,44471,2024-12-17,Size Issue,5520.25,2
39,7362,2025-01-05,Size Issue,1728.71,2
40,18490,2024-01-24,Wrong Product,6007.49,7
41,19297,2024-12-27,Late Delivery,1427.72,5
42,25705,2024-04-03,Wrong Product,2514.13,1
43,35837,2024-02-02,Not as Expected,4673.1,9
44,2935,2024-09-06,Not as Expected,5915.84,8
45,28122,2024-11-09,Wrong Product,2851.99,2
46,10946,2025-01-07,Not as Expected,6628.16,3
47,2784,2024-09-02,Not as Expected,1324.01,8
48,1987,2024-03-13,Not as Expected,3674.88,3
49,9167,2024-10-10,Late Delivery,3731.21,4
50,12954,2024-03-27,Wrong Product,1148.12,9
51,44001,2024-03-01,Late Delivery,826.88,1
52,36202,2024-12-22,Size Issue,5783.0,1
53,47535,2024-12-31,Damaged,4189.04,6
54,8282,2024-08-09,Size Issue,5665.2,8
55,47703,2024-09-18,Not as Expected,5996.99,7
56,47101,2024-05-12,Wrong Product,1499.14,2
57,40402,2025-01-04,Not as Expected,5311.46,3
58,38546,2024-08-07,Damaged,5318.48,9
59,34235,2024-05-13,Not as Expected,4289.35,6
60,17344,2024-11-15,Not as Expected,4330.52,8
61,2560,2024-02-26,Wrong Product,2726.74,8
62,26498,2024-12-23,Late Delivery,204.92,4
63,39128,2024-06-07,Size Issue,7042.17,3
64,35798,2024-08-14,Wrong Product,361.03,5
65,31149,2024-05-30,Late Delivery,4444.71,3
66,11737,2024-01-10,Late Delivery,1764.38,3
67,39073,2024-04-28,Damaged,5148.96,8
68,280,2024-12-16,Size Issue,839.26,5
69,4400,2024-03-28,Wrong Product,3405.79,6
70,3827,2024-06-18,Damaged,514.05,8
71,15112,2024-05-30,Late Delivery,3951.06,4
